trade_id,session_id,timestamp,symbol,strategy,side,trade_type,price,size,notional_value,entry_reason,rsi_value,bb_position,confidence,entry_price,exit_price,pnl,pnl_pct,hold_time_candles,exit_reason,stop_loss_price,take_profit_price,account_equity,total_pnl,win_count,loss_count,mode
20260119_195301_0001,20260119_195301,2026-01-19T19:53:50.081260,ETH-PERP,RSI_v2,short,entry,3502.772622748834,1.427440641601282,5000.0,RSI=76.3 BB=0.39,76.33372284905059,0.3914548756517943,,,,,,,,3508.0267816829573,3485.2587596350895,500,,,,paper
20260119_195301_0002,20260119_195301,2026-01-19T19:53:52.088287,BTC-PERP,COMBO_v1,long,entry,100048.7392606841,0.04997564224144939,5000.0,RSI=21.6 BB=0.01,21.586801773854617,0.011464559630092415,,,,,,,,99748.59304290205,100649.0316962482,500,,,,paper
20260119_195301_0003,20260119_195301,2026-01-19T19:53:52.093816,BTC-PERP,BB_v1,long,entry,100048.7392606841,0.04997564224144939,5000.0,RSI=21.6 BB=0.01,21.586801773854617,0.011464559630092415,,,,,,,,99848.64178216274,100348.88547846614,500,,,,paper
20260119_195301_0004,20260119_195301,2026-01-19T19:53:56.102706,SOL-PERP,COMBO_v1,short,entry,200.39488444452957,24.95073671096643,5000.0,RSI=74.9 BB=0.99,74.92937117124565,0.9876057324944347,,,,,,,,200.99606909786314,199.1925151378624,500,,,,paper
20260119_195301_0005,20260119_195301,2026-01-19T19:53:56.105483,SOL-PERP,RSI_v2,short,entry,200.39488444452957,24.95073671096643,5000.0,RSI=74.9 BB=0.99,74.92937117124565,0.9876057324944347,,,,,,,,200.69547677119638,199.39291002230692,500,,,,paper
20260119_195301_0006,20260119_195301,2026-01-19T19:53:56.106484,SOL-PERP,BB_v1,short,entry,200.39488444452957,24.95073671096643,5000.0,RSI=74.9 BB=0.99,74.92937117124565,0.9876057324944347,,,,,,,,200.79567421341864,199.793699791196,500,,,,paper
20260119_195301_0007,20260119_195301,2026-01-19T19:54:00.133636,ETH-PERP,COMBO_v1,short,entry,3504.720293509691,1.4266473730469682,5000.0,RSI=81.9 BB=0.78,81.9452729522709,0.7764505107474167,,,,,,,,3515.23445439022,3483.691971748633,500,,,,paper
20260119_200221_0001,20260119_200221,2026-01-19T20:03:15.942862,SOL-PERP,COMBO_v1,long,entry,198.53839651151486,25.184045443370998,5000.0,RSI=12.0 BB=0.11,11.962620998426573,0.10868557559993237,,,,,,,,197.9427813219803,199.72962689058394,500,,,,paper
20260119_200221_0002,20260119_200221,2026-01-19T20:03:15.944867,SOL-PERP,RSI_v2,long,entry,198.53839651151486,25.184045443370998,5000.0,RSI=12.0 BB=0.11,11.962620998426573,0.10868557559993237,,,,,,,,198.2405889167476,199.5310884940724,500,,,,paper
20260119_200221_0003,20260119_200221,2026-01-19T20:03:15.945861,SOL-PERP,BB_v1,long,entry,198.53839651151486,25.184045443370998,5000.0,RSI=12.0 BB=0.11,11.962620998426573,0.10868557559993237,,,,,,,,198.14131971849184,199.1340117010494,500,,,,paper
20260119_200221_0004,20260119_200221,2026-01-19T20:03:17.959149,ETH-PERP,COMBO_v1,short,entry,3495.4568351001844,1.4304281917578574,5000.0,RSI=65.4 BB=0.96,65.39172912707122,0.9557376742989911,,,,,,,,3505.9432056054848,3474.4840940895833,500,,,,paper
20260119_200221_0005,20260119_200221,2026-01-19T20:03:17.961388,ETH-PERP,BB_v1,short,entry,3495.4568351001844,1.4304281917578574,5000.0,RSI=65.4 BB=0.96,65.39172912707122,0.9557376742989911,,,,,,,,3502.447748770385,3484.9704645948837,500,,,,paper
20260119_200221_0002,20260119_200221,2026-01-19T20:03:17.962396,SOL-PERP,RSI_v2,long,stop_loss,198.2405889167476,25.184045443370998,5000.0,,,,,198.53839651151486,198.2405889167476,-7.499999999999424,-0.14999999999998848,2,stop_loss,,,492.50000000000057,-7.499999999999424,0,1,paper
20260119_200221_0006,20260119_200221,2026-01-19T20:03:18.968110,ETH-PERP,RSI_v2,short,entry,3495.621375616214,1.4303608608408258,5000.0,RSI=81.3 BB=0.94,81.25816929104468,0.9445032023637349,,,,,,,,3500.864807679639,3478.143268738133,492.50000000000057,,,,paper
